# strongSwan IPsec 握手完成时间测试结果
# 测试时间: Fri 18 Jul 04:29:35 +00 2025
# 连接名称: net-net
# 列格式: test_num,hct_ms,connection_status,error_message,timestamp,network_conditions,interface,local_ip,remote_ip
test_num,hct_ms,connection_status,error_message,timestamp,network_conditions,interface,local_ip,remote_ip
1,94.061944000,SUCCESS,,2025-07-18 04:29:39,ideal,ens33,192.168.31.114,192.168.31.135
2,61.732914000,SUCCESS,,2025-07-18 04:29:44,ideal,ens33,192.168.31.114,192.168.31.135
3,70.408861000,SUCCESS,,2025-07-18 04:29:49,ideal,ens33,192.168.31.114,192.168.31.135
4,56.055914000,SUCCESS,,2025-07-18 04:29:55,ideal,ens33,192.168.31.114,192.168.31.135
5,58.834000000,SUCCESS,,2025-07-18 04:30:00,ideal,ens33,192.168.31.114,192.168.31.135
6,59.213326000,SUCCESS,,2025-07-18 04:30:06,ideal,ens33,192.168.31.114,192.168.31.135
7,57.763339000,SUCCESS,,2025-07-18 04:30:11,ideal,ens33,192.168.31.114,192.168.31.135
8,55.017369000,SUCCESS,,2025-07-18 04:30:16,ideal,ens33,192.168.31.114,192.168.31.135
9,54.366244000,SUCCESS,,2025-07-18 04:30:21,ideal,ens33,192.168.31.114,192.168.31.135
10,51.371928000,SUCCESS,,2025-07-18 04:30:26,ideal,ens33,192.168.31.114,192.168.31.135
11,57.449453000,SUCCESS,,2025-07-18 04:30:31,ideal,ens33,192.168.31.114,192.168.31.135
12,56.859011000,SUCCESS,,2025-07-18 04:30:37,ideal,ens33,192.168.31.114,192.168.31.135
13,57.909606000,SUCCESS,,2025-07-18 04:30:42,ideal,ens33,192.168.31.114,192.168.31.135
14,57.395198000,SUCCESS,,2025-07-18 04:30:47,ideal,ens33,192.168.31.114,192.168.31.135
15,66.668564000,SUCCESS,,2025-07-18 04:30:52,ideal,ens33,192.168.31.114,192.168.31.135
16,55.255388000,SUCCESS,,2025-07-18 04:30:57,ideal,ens33,192.168.31.114,192.168.31.135
17,57.786063000,SUCCESS,,2025-07-18 04:31:03,ideal,ens33,192.168.31.114,192.168.31.135
18,54.187276000,SUCCESS,,2025-07-18 04:31:08,ideal,ens33,192.168.31.114,192.168.31.135
19,65.206337000,SUCCESS,,2025-07-18 04:31:14,ideal,ens33,192.168.31.114,192.168.31.135
20,56.785321000,SUCCESS,,2025-07-18 04:31:19,ideal,ens33,192.168.31.114,192.168.31.135
21,56.149515000,SUCCESS,,2025-07-18 04:31:24,ideal,ens33,192.168.31.114,192.168.31.135
22,54.754683000,SUCCESS,,2025-07-18 04:31:29,ideal,ens33,192.168.31.114,192.168.31.135
23,63.482984000,SUCCESS,,2025-07-18 04:31:34,ideal,ens33,192.168.31.114,192.168.31.135
24,53.958211000,SUCCESS,,2025-07-18 04:31:39,ideal,ens33,192.168.31.114,192.168.31.135
