# strongSwan 突发丢包率性能测试结果
# 测试时间: Sat 19 Jul 13:52:37 +00 2025
# 每个丢包率测试次数: 5
# 突发大小: 3
# 连接超时: 60 秒
# 丢包率(%),测试序号,成功(1/0),HCT(s),重传次数,结果,测试时间
